centroComercial,latitud,longitud
Centro Comercial Ciudad Tunal,4.577801021881366,-74.1302861263075
Centro Comercial Centro Mayor,4.591025578552886,-74.12427554225071
Centro Comercial El Tintal,4.6425515990044115,-74.15646560611846
Centro Comercial Plaza de las Americas,4.618487351262866,-74.13533707793628
Centro Comercial Plaza Central,4.631764206804927,-74.11577637804815
Centro Comercial MultiPlaza,4.652324435764624,-74.12571878629174
Centro Comercial Calima Plaza,4.618771605675896,-74.08640172015834
Centro Comercial Galerias,4.642706923026336,-74.0747228284098
Centro Comercial Imperial Plaza,4.749965206845706,-74.09632279774667
Centro Comercial Colina,4.732497498791747,-74.06677749165567
Centro Comercial Iserra 100,4.688040563308064,-74.0643080365637
Centro Comercial Bulevar Niza,4.712237791416967,-74.07145834317453
Centro Comercial Niza,4.711475130840443,-74.07275926277701
Centro Comercial EL Eden,4.646363672228067,-74.12821748326516
Centro Comercial Plaza Claro,4.651335558506142,-74.10634229045671
Centro Comercial Hayuelos,4.66381673212429,-74.12988202441682
Centro Comercial Portal de la 80,4.710718089691377,-74.1116929372334
Centro Comercial Nuestro Bogota,4.682927641545739,-74.1166444394937
Centro Comercial Gran estación,4.64777778,-74.10138889
Centro Comercial Floresta,4.6916066524526165,-74.07490944915335
Centro Comercial Salitre Plaza,4.653270449580609,-74.10990566595817
Centro Comercial Centro Andino,4.666641336418658,-74.05341878456537
Centro Comercial El Retiro,4.666153607718665,-74.05427464014616
Centro Comercial Atlantis Plaza,4.666026356139215,-74.05587732951138
Centro Comercial Avenida Chile,4.656838661505203,-74.05777055467662
Centro Comercial Santa Fe,4.762980200587227,-74.04685726838947
Centro Comercial Hacienda Santa barbara,4.6935465888775125,-74.03282320181573
Centro Comercial Palatino,4.716094354924267,-74.0292353173722
Centro Comercial Unicentro,4.70173616237123,-74.0412400658832
Centro Comercial Cedritos,4.73212229183283,-74.04247001468286
Centro Comercial Santa Ana,4.690978584058933,-74.03663231673788
Centro Comercial Mazurem,4.736179930291981,-74.04978563249422
Centro Comercial Mercurio,4.588478580669053,-74.2047372238657
